,precision,recall,f1-score,support,,,,,,,,,,,,
0,0.953488372,0.836734694,0.891304348,49,,,,,,,,,,,,
1,0.859649123,0.960784314,0.907407407,51,,,,,,,,,,,,
accuracy,0.9,0.9,0.9,0.9,,,,,,,,,,,,
macro avg,0.906568747,0.898759504,0.899355878,100,,,,,,,,,,,,
weighted avg,0.905630355,0.9,0.899516908,100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,precision,recall,f1-score,support,,,,,
,,,,,,,0,0.95,0.84,0.89,49,,,,,
,,,,,,,1,0.86,0.96,0.91,51,,,,,
,,,,,,,accuracy,0.90,0.90,0.90,0.90,,,,,
,,,,,,,macro avg,0.91,0.90,0.90,100,,,,,
,,,,,,,weighted avg,0.91,0.90,0.90,100,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,parameter,value,,,
,,,,,,,,,,,,device, cpu,,,
,,,,,,,,,,,,n_classes,2,,,
,,,,,,,,,,,,epochs,10,,,
,,,,,,,,,,,,batch_size,16,,,
,,,,,,,,,,,,learning_rate,1.00E-05,,,
,,,,,,,,,,,,max_len,300,,,
,,,,,,,,,,,,loss_func, CrossEntropyLoss,,,
,,,,,,,,,,,,,,,,
